Date,pred,P/L
20221031,-7.52402760502613,-340.0
20221102,-1.6565014351163512,-105.0
20221108,-1.6451130833135796,-85.0
20221110,0.21998811189296497,10.0
20221111,1.0688178947249707,-390.0
20221114,11.071659207864082,-360.0
20221115,-8.458452915708662,-210.0
20221116,2.9931236702384583,-280.0
20221117,-0.9469242760428239,-235.0
20221118,-2.6590274460213688,-265.0
20221121,2.2889588174818476,-180.0
20221122,-8.949422221661218,-135.0
20221124,-1.111200142703565,94.0
20221125,-0.8232115952423278,48.0
20221128,-8.71262441108839,-79.0
20221129,1.982414748735618,-191.0
20221130,13.298585954779337,-80.0
20221201,3.835167529543846,-20.0
20221202,0.3579633707099297,-200.0
20221205,27.86506655095784,-130.0
20221206,6.4232091551119455,-150.0
20221207,-6.16166327293909,34.96
20221209,4.089005529626471,-175.0
20221212,-2.0683007908628332,310.0
20221213,2.7069289873689675,35.0
20221214,-13.5959675169534,75.0
20221215,-17.750089003741046,170.0
20221216,4.109342702651949,585.0
20221219,-1.334001450964656,145.0
20221220,8.763315911691125,225.0
20221221,18.444401602738722,-225.0
20221222,0.62728205710695,-185.0
20221223,12.111058157839086,-165.0
20221226,-4.276551539689653,-197.0
20221227,20.422712714343334,243.0
20221228,36.454443950700586,-215.0
20221229,-16.405083378604836,-292.0
